total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,continent_Africa,continent_Asia,continent_Australia/Oceania,continent_Europe,continent_North America,continent_South America
0.0020963644071506204,0.007489443770728929,0.0019951958144534114,0.004823212496814616,0.13502464831068897,0.006058385453058164,0.034425319267073845,0.000930515331706835,0.0008408518256701044,0.028176465530080016,0.0,1.0,0.0,0.0,0.0,0.0
0.0032400615371212475,0.0034052666695888064,0.00334451132706702,0.0001165824624898506,0.00012023566189731875,0.1360509438356709,0.22468998704423468,0.0017823318930954533,0.028747222823764705,0.0019913625274625285,0.0,0.0,0.0,1.0,0.0,0.0
0.003124180068544162,0.006695595848613689,0.002194213205932006,0.04154926743913724,0.0006011783094865938,0.0081105108585127,0.02739218952433833,0.00022199726600666627,0.0,0.031486978484223604,1.0,0.0,0.0,0.0,0.0,0.0
0.00046809795520629037,0.00014805507259081768,0.0005036300703277661,0.0004936699849680842,0.0015630636046651439,0.7723220118497816,0.3646122524523413,0.00024065929962443022,0.14740006115202747,4.9852776283734956e-05,0.0,0.0,0.0,1.0,0.0,0.0
2.9095060259670008e-06,7.792372241621983e-06,3.4611720257146864e-05,1.753895453387133e-05,0.00036070698569195625,0.2776291347841647,0.10845826392744772,4.5497127329180025e-05,0.15403757932671316,6.6079905682554725e-06,0.0,0.0,0.0,0.0,1.0,0.0
5.91639143729289e-05,0.0001324703281075737,9.116963440422718e-05,2.476087698899482e-05,0.0,0.11005072797196044,0.2543031649083842,1.3555223237985895e-05,0.008470934172090891,6.509888552879837e-05,0.0,0.0,0.0,0.0,1.0,0.0
0.10805050341935837,0.12538706173993933,0.10949581407430707,0.03949669390707036,0.04460743056390526,0.2809608207365497,0.5174902831760133,0.035118247707559405,0.03534677856715314,0.03193347952455831,0.0,0.0,0.0,0.0,0.0,1.0
0.07827231489586095,0.007590744609870015,0.0763097102024175,0.1991981602668397,0.0153901647228568,0.35923981890170814,0.054599296687025727,0.06970405855853291,0.12437156492086344,0.018095485060742673,0.0,0.0,1.0,0.0,0.0,0.0
0.04999306825033732,0.01782699959577069,0.05090558144268247,0.030063315625867275,0.006853432728147169,0.6570351687429348,0.3714602998334259,0.18195879875342455,0.9306844012736144,0.006319913166376742,0.0,0.0,0.0,1.0,0.0,0.0
0.006819620863101044,0.0014396407716396613,0.0070116304734583,0.0029584089485809434,0.00036070698569195625,0.45208819736759887,0.15028687766055895,0.009608694337492733,0.24687285044601737,0.0012547039334499827,0.0,1.0,0.0,0.0,0.0,0.0
0.023160534880737688,0.02837007923868523,0.023377866095377984,0.0126079290518338,0.15293976193338946,0.016316172168350972,0.03146400148065889,0.013813207143514533,0.0036027217368897616,0.1165409012609225,0.0,1.0,0.0,0.0,0.0,0.0
0.04885188873374426,0.030791558912769263,0.048511132296087854,0.07397776266905746,0.013947336780088975,0.5001363349750336,0.5000925411808255,0.03327923936489381,0.1324243170391465,0.008113439640183484,0.0,0.0,0.0,1.0,0.0,0.0
0.0006550188729561701,0.0006574814078868548,0.0006973670820089509,0.00022387959610882817,0.0006011783094865938,0.19980032606781528,0.30353507310753286,0.0005350694256955982,0.060949484825994917,0.0002816111451003947,0.0,0.0,0.0,0.0,1.0,0.0
0.0002875423241091384,0.00015779553789284514,0.0003126624886102577,0.0006489413177532392,0.000480942647589275,0.0027920266762101148,0.001665741254858412,0.0005892480323301278,0.0019433192966976486,0.008829598247895226,1.0,0.0,0.0,0.0,0.0,0.0
0.010728441266941906,0.021372528965708692,0.010629207594943813,0.010581663951567724,0.026331609955512807,0.10729278503950875,0.3385156394595595,0.0026554873103344094,0.010117148216367907,0.008312139992048388,0.0,0.0,0.0,0.0,0.0,1.0
0.003605234232217105,0.002619211119715189,0.0037285389486968142,0.0003007414850954996,0.0,0.17806909910984622,0.20322043309272625,0.001988224955986532,0.0378062770261944,0.0016912843032638022,1.0,0.0,0.0,0.0,0.0,0.0
0.3643337479399213,0.6476620448158809,0.3657899775585089,0.1541091191214841,1.0000000000000002,0.20209671830353845,0.5706089209698316,0.06271262371702968,0.013326965658287105,0.14963180948399635,0.0,0.0,0.0,0.0,0.0,1.0
0.013760954082365908,0.03608257966483059,0.012483334801336357,0.05681176884483286,0.0063724900805578934,0.24054886188698968,1.0,0.009754511327574137,0.06610133935945335,0.0047559461033224665,0.0,0.0,0.0,1.0,0.0,0.0
0.0006337497901296113,0.0003896186120810991,0.000683236834905393,3.4046205859867875e-05,0.0026451845617410123,0.14024892494191563,0.13011290024060707,0.0003892947219316081,0.03213824333039235,0.000390110445604192,1.0,0.0,0.0,0.0,0.0,0.0
0.0013899244685110339,0.0018760136171704924,0.0014485595739341546,1.908650934568351e-05,0.001442827942767825,0.005905008606145299,0.012030353507310753,0.0017176672631450036,0.0026548515735336188,0.019294076308854144,1.0,0.0,0.0,0.0,0.0,0.0
0.04534800031550921,0.03918296977046594,0.04307337502527566,0.14522718620489006,0.05073944932066851,0.14126007600674859,0.19341106792522672,0.06041174848112563,0.07311074282311994,0.026646455520860615,0.0,0.0,0.0,0.0,1.0,0.0
0.00024747426969439287,2.6299256315474193e-05,0.00010399517228045302,0.007723330214150634,0.0,0.498365400455586,0.07643901536183602,0.00021404350472192818,0.1516667819888092,4.267159759448161e-05,0.0,0.0,0.0,0.0,1.0,0.0
